195  ### Number of species with binding energy      
Spec     ED(K)    references         
C8       6400.    osu_2008_03ggs.dat       141
CH3C3N   6480.    osu_2008_03ggs.dat       142
HCOOCH3  6300.    osu_2008_03ggs.dat       143
C2H5OH   6580.    osu_2008_03ggs.dat       144
C7H2     6590.    osu_2008_03ggs.dat       145
C8H      6940.    osu_2008_03ggs.dat       146
C9       7200.    osu_2008_03ggs.dat       147
CH3C4H   5890.    osu_2008_03ggs.dat       148
CH3OCH3  3150.    osu_2008_03ggs.dat       149
HC7N     7780.    osu_2008_03ggs.dat       150
C2H6CO   2820.     Semenov PHD             151
C8H2     7390.    osu_2008_03ggs.dat       152
C9H      7740.    osu_2008_03ggs.dat       153
C10      8000.    osu_2008_03ggs.dat       154
C9N      8000.    osu_2008_03ggs.dat       155
CH3C5N   7880.    osu_2008_03ggs.dat       156
C9H2     8190.    osu_2008_03ggs.dat       157
CH3C6H   7490.    osu_2008_03ggs.dat       158
HC9N     9380.    osu_2008_03ggs.dat       159
CH3C7N   9480.    osu_2008_03ggs.dat       160
C6H6     7590.    osu_2008_03ggs.dat       161
O3       1800.    osu_2008_03ggs.dat       162
FEH      4650.    osu_2008_03ggs.dat       163
HNCO     2850.    osu_2008_03ggs.dat       164
HC2O     2400.    osu_2008_03ggs.dat       165
HCCN     3780.    osu_2008_03ggs.dat       166
HC3O     3200.    osu_2008_03ggs.dat       167
MGH2     6200.    osu_2008_03ggs.dat       168
N2H2     4760.    osu_2008_03ggs.dat       169
CHNH     3300.    osu_2008_03ggs.dat       170
H2C3O    3650.    osu_2008_03ggs.dat       171
H2C3N    5030.    osu_2008_03ggs.dat       172
H2C5N    6630.    osu_2008_03ggs.dat       173
H2C7N    8230.    osu_2008_03ggs.dat       174
H2C9N    9830.    osu_2008_03ggs.dat       175
NH2OH    6810.    osu_2008_03ggs.dat       176
CH2OH    5080.    osu_2008_03ggs.dat       177
C5H3     5440.    osu_2008_03ggs.dat       178
H3C5N    7080.    osu_2008_03ggs.dat       179
C6H3     6240.    osu_2008_03ggs.dat       180
C7H3     7040.    osu_2008_03ggs.dat       181
H3C7N    8680.    osu_2008_03ggs.dat       182
C8H3     7840.    osu_2008_03ggs.dat       183
C9H3     8640.    osu_2008_03ggs.dat       184
